Sigma,E_N,Encoded errors,Solved errors,BER
0.8912509381337456,1.0,19.0,11.0,0.171875
0.8912509381337456,1.0,18.0,10.0,0.15625
0.8912509381337456,1.0,23.0,29.0,0.453125
0.8912509381337456,1.0,20.0,27.0,0.421875
0.8912509381337456,1.0,18.0,13.0,0.203125
0.8912509381337456,1.0,9.0,0.0,0.0
0.8912509381337456,1.0,8.0,0.0,0.0
0.8912509381337456,1.0,21.0,21.0,0.328125
0.8912509381337456,1.0,21.0,11.0,0.171875
0.8912509381337456,1.0,12.0,0.0,0.0
0.8912509381337456,1.0,13.0,14.0,0.21875
0.8912509381337456,1.0,20.0,33.0,0.515625
0.8912509381337456,1.0,23.0,21.0,0.328125
0.8912509381337456,1.0,14.0,0.0,0.0
0.8912509381337456,1.0,16.0,8.0,0.125
0.8912509381337456,1.0,19.0,17.0,0.265625
0.8912509381337456,1.0,17.0,11.0,0.171875
0.8912509381337456,1.0,17.0,7.0,0.109375
0.8912509381337456,1.0,20.0,12.0,0.1875
0.8912509381337456,1.0,15.0,4.0,0.0625
0.8912509381337456,1.0,15.0,10.0,0.15625
0.8912509381337456,1.0,21.0,7.0,0.109375
0.8912509381337456,1.0,19.0,12.0,0.1875
0.8912509381337456,1.0,13.0,6.0,0.09375
0.8912509381337456,1.0,13.0,13.0,0.203125
0.8912509381337456,1.0,22.0,36.0,0.5625
0.8912509381337456,1.0,15.0,3.0,0.046875
0.8912509381337456,1.0,18.0,6.0,0.09375
0.8912509381337456,1.0,13.0,0.0,0.0
0.8912509381337456,1.0,18.0,9.0,0.140625
0.8912509381337456,1.0,16.0,10.0,0.15625
0.8912509381337456,1.0,16.0,13.0,0.203125
0.8912509381337456,1.0,13.0,0.0,0.0
0.8912509381337456,1.0,19.0,19.0,0.296875
0.8912509381337456,1.0,15.0,19.0,0.296875
0.8912509381337456,1.0,21.0,17.0,0.265625
0.8912509381337456,1.0,15.0,0.0,0.0
0.8912509381337456,1.0,15.0,13.0,0.203125
0.8912509381337456,1.0,20.0,24.0,0.375
0.8912509381337456,1.0,19.0,16.0,0.25
0.8912509381337456,1.0,16.0,8.0,0.125
0.8912509381337456,1.0,22.0,10.0,0.15625
0.8912509381337456,1.0,22.0,20.0,0.3125
0.8912509381337456,1.0,13.0,0.0,0.0
0.8912509381337456,1.0,20.0,23.0,0.359375
0.8912509381337456,1.0,15.0,12.0,0.1875
0.8912509381337456,1.0,16.0,9.0,0.140625
0.8912509381337456,1.0,18.0,8.0,0.125
0.8912509381337456,1.0,15.0,10.0,0.15625
0.8912509381337456,1.0,17.0,12.0,0.1875
0.8912509381337456,1.0,14.0,14.0,0.21875
0.8912509381337456,1.0,15.0,14.0,0.21875
0.8912509381337456,1.0,10.0,0.0,0.0
0.8912509381337456,1.0,16.0,9.0,0.140625
0.8912509381337456,1.0,13.0,7.0,0.109375
0.8912509381337456,1.0,19.0,12.0,0.1875
0.8912509381337456,1.0,24.0,32.0,0.5
0.8912509381337456,1.0,19.0,14.0,0.21875
0.8912509381337456,1.0,16.0,21.0,0.328125
0.8912509381337456,1.0,24.0,31.0,0.484375
0.8912509381337456,1.0,16.0,12.0,0.1875
0.8912509381337456,1.0,19.0,35.0,0.546875
0.8912509381337456,1.0,12.0,0.0,0.0
0.8912509381337456,1.0,15.0,5.0,0.078125
0.8912509381337456,1.0,14.0,12.0,0.1875
0.8912509381337456,1.0,18.0,11.0,0.171875
0.8912509381337456,1.0,14.0,9.0,0.140625
0.8912509381337456,1.0,17.0,16.0,0.25
0.8912509381337456,1.0,17.0,12.0,0.1875
0.8912509381337456,1.0,18.0,16.0,0.25
0.8912509381337456,1.0,16.0,6.0,0.09375
0.8912509381337456,1.0,19.0,22.0,0.34375
0.8912509381337456,1.0,22.0,28.0,0.4375
0.8912509381337456,1.0,24.0,29.0,0.453125
0.8912509381337456,1.0,23.0,11.0,0.171875
0.8912509381337456,1.0,15.0,4.0,0.0625
0.8912509381337456,1.0,26.0,13.0,0.203125
0.8912509381337456,1.0,21.0,22.0,0.34375
0.8912509381337456,1.0,23.0,14.0,0.21875
0.8912509381337456,1.0,20.0,11.0,0.171875
0.8912509381337456,1.0,18.0,11.0,0.171875
0.8912509381337456,1.0,13.0,0.0,0.0
0.8912509381337456,1.0,22.0,22.0,0.34375
0.8912509381337456,1.0,12.0,9.0,0.140625
0.8912509381337456,1.0,18.0,20.0,0.3125
0.8912509381337456,1.0,18.0,19.0,0.296875
0.8912509381337456,1.0,8.0,0.0,0.0
0.8912509381337456,1.0,12.0,4.0,0.0625
0.8912509381337456,1.0,8.0,0.0,0.0
0.8912509381337456,1.0,20.0,24.0,0.375
0.8912509381337456,1.0,17.0,15.0,0.234375
0.8912509381337456,1.0,22.0,33.0,0.515625
0.8912509381337456,1.0,22.0,13.0,0.203125
0.8912509381337456,1.0,19.0,9.0,0.140625
0.8912509381337456,1.0,14.0,1.0,0.015625
0.8912509381337456,1.0,19.0,10.0,0.15625
0.8912509381337456,1.0,13.0,5.0,0.078125
0.8912509381337456,1.0,14.0,28.0,0.4375
0.8912509381337456,1.0,20.0,13.0,0.203125
0.8912509381337456,1.0,18.0,13.0,0.203125
0.8912509381337456,1.0,13.0,0.0,0.0
0.8912509381337456,1.0,14.0,11.0,0.171875
0.8912509381337456,1.0,16.0,4.0,0.0625
0.8912509381337456,1.0,21.0,16.0,0.25
0.8912509381337456,1.0,16.0,0.0,0.0
0.8912509381337456,1.0,11.0,6.0,0.09375
0.8912509381337456,1.0,14.0,27.0,0.421875
0.8912509381337456,1.0,19.0,13.0,0.203125
0.8912509381337456,1.0,17.0,13.0,0.203125
0.8912509381337456,1.0,14.0,10.0,0.15625
0.8912509381337456,1.0,15.0,3.0,0.046875
0.8912509381337456,1.0,12.0,0.0,0.0
0.8912509381337456,1.0,16.0,8.0,0.125
0.8912509381337456,1.0,18.0,17.0,0.265625
0.8912509381337456,1.0,10.0,0.0,0.0
0.8912509381337456,1.0,17.0,12.0,0.1875
0.8912509381337456,1.0,24.0,31.0,0.484375
0.8912509381337456,1.0,24.0,7.0,0.109375
0.8912509381337456,1.0,17.0,26.0,0.40625
0.8912509381337456,1.0,20.0,35.0,0.546875
0.8912509381337456,1.0,23.0,20.0,0.3125
0.8912509381337456,1.0,15.0,11.0,0.171875
0.8912509381337456,1.0,17.0,13.0,0.203125
0.8912509381337456,1.0,17.0,13.0,0.203125
0.8912509381337456,1.0,19.0,8.0,0.125
0.8912509381337456,1.0,25.0,27.0,0.421875
0.8912509381337456,1.0,18.0,21.0,0.328125
0.8912509381337456,1.0,15.0,18.0,0.28125
0.8912509381337456,1.0,14.0,9.0,0.140625
0.8912509381337456,1.0,14.0,4.0,0.0625
0.8912509381337456,1.0,17.0,7.0,0.109375
0.8912509381337456,1.0,16.0,0.0,0.0
0.8912509381337456,1.0,19.0,19.0,0.296875
0.8912509381337456,1.0,14.0,13.0,0.203125
0.8912509381337456,1.0,16.0,16.0,0.25
0.8912509381337456,1.0,17.0,15.0,0.234375
0.8912509381337456,1.0,18.0,22.0,0.34375
0.8912509381337456,1.0,11.0,7.0,0.109375
0.8912509381337456,1.0,12.0,0.0,0.0
0.8912509381337456,1.0,17.0,7.0,0.109375
0.8912509381337456,1.0,30.0,32.0,0.5
0.8912509381337456,1.0,17.0,13.0,0.203125
0.8912509381337456,1.0,23.0,21.0,0.328125
0.8912509381337456,1.0,18.0,6.0,0.09375
0.8912509381337456,1.0,18.0,12.0,0.1875
0.8912509381337456,1.0,14.0,0.0,0.0
0.8912509381337456,1.0,13.0,25.0,0.390625
0.8912509381337456,1.0,13.0,0.0,0.0
0.8912509381337456,1.0,13.0,3.0,0.046875
0.8912509381337456,1.0,20.0,19.0,0.296875
0.8912509381337456,1.0,13.0,6.0,0.09375
0.8912509381337456,1.0,20.0,19.0,0.296875
0.8912509381337456,1.0,14.0,0.0,0.0
0.8912509381337456,1.0,23.0,24.0,0.375
0.8912509381337456,1.0,20.0,15.0,0.234375
0.8912509381337456,1.0,21.0,15.0,0.234375
0.8912509381337456,1.0,20.0,13.0,0.203125
0.8912509381337456,1.0,15.0,7.0,0.109375
0.8912509381337456,1.0,15.0,4.0,0.0625
0.8912509381337456,1.0,17.0,10.0,0.15625
0.8912509381337456,1.0,18.0,11.0,0.171875
0.8912509381337456,1.0,22.0,15.0,0.234375
0.8912509381337456,1.0,24.0,28.0,0.4375
0.8912509381337456,1.0,13.0,0.0,0.0
0.8912509381337456,1.0,15.0,0.0,0.0
0.8912509381337456,1.0,20.0,9.0,0.140625
0.8912509381337456,1.0,11.0,7.0,0.109375
0.8912509381337456,1.0,13.0,13.0,0.203125
0.8912509381337456,1.0,8.0,6.0,0.09375
0.8912509381337456,1.0,17.0,12.0,0.1875
0.8912509381337456,1.0,15.0,12.0,0.1875
0.8912509381337456,1.0,20.0,5.0,0.078125
0.8912509381337456,1.0,13.0,14.0,0.21875
0.8912509381337456,1.0,22.0,29.0,0.453125
0.8912509381337456,1.0,20.0,22.0,0.34375
0.8912509381337456,1.0,14.0,3.0,0.046875
0.8912509381337456,1.0,14.0,7.0,0.109375
0.8912509381337456,1.0,20.0,28.0,0.4375
0.8912509381337456,1.0,20.0,13.0,0.203125
0.8912509381337456,1.0,15.0,13.0,0.203125
0.8912509381337456,1.0,17.0,14.0,0.21875
0.8912509381337456,1.0,14.0,19.0,0.296875
0.8912509381337456,1.0,10.0,0.0,0.0
0.8912509381337456,1.0,10.0,0.0,0.0
0.8912509381337456,1.0,20.0,9.0,0.140625
0.8912509381337456,1.0,11.0,9.0,0.140625
0.8912509381337456,1.0,16.0,3.0,0.046875
0.8912509381337456,1.0,12.0,0.0,0.0
0.8912509381337456,1.0,21.0,21.0,0.328125
0.8912509381337456,1.0,10.0,0.0,0.0
0.8912509381337456,1.0,16.0,11.0,0.171875
0.8912509381337456,1.0,21.0,30.0,0.46875
0.8912509381337456,1.0,18.0,19.0,0.296875
0.8912509381337456,1.0,19.0,20.0,0.3125
0.8912509381337456,1.0,10.0,0.0,0.0
0.8912509381337456,1.0,13.0,1.0,0.015625
0.8912509381337456,1.0,12.0,6.0,0.09375
0.8912509381337456,1.0,11.0,13.0,0.203125
0.8912509381337456,1.0,17.0,8.0,0.125
0.8912509381337456,1.0,15.0,4.0,0.0625
0.8912509381337456,1.0,20.0,13.0,0.203125
0.8912509381337456,1.0,17.0,4.0,0.0625
0.8912509381337456,1.0,17.0,10.0,0.15625
0.8912509381337456,1.0,18.0,12.0,0.1875
0.8912509381337456,1.0,20.0,22.0,0.34375
0.8912509381337456,1.0,13.0,0.0,0.0
0.8912509381337456,1.0,14.0,3.0,0.046875
0.8912509381337456,1.0,17.0,23.0,0.359375
0.8912509381337456,1.0,12.0,16.0,0.25
0.8912509381337456,1.0,21.0,9.0,0.140625
0.8912509381337456,1.0,15.0,6.0,0.09375
0.8912509381337456,1.0,11.0,0.0,0.0
0.8912509381337456,1.0,21.0,18.0,0.28125
0.8912509381337456,1.0,22.0,16.0,0.25
0.8912509381337456,1.0,25.0,35.0,0.546875
0.8912509381337456,1.0,20.0,25.0,0.390625
0.8912509381337456,1.0,12.0,6.0,0.09375
0.8912509381337456,1.0,18.0,14.0,0.21875
0.8912509381337456,1.0,17.0,12.0,0.1875
0.8912509381337456,1.0,13.0,0.0,0.0
0.8912509381337456,1.0,13.0,0.0,0.0
0.8912509381337456,1.0,16.0,8.0,0.125
0.8912509381337456,1.0,23.0,11.0,0.171875
0.8912509381337456,1.0,23.0,30.0,0.46875
0.8912509381337456,1.0,12.0,8.0,0.125
0.8912509381337456,1.0,16.0,11.0,0.171875
0.8912509381337456,1.0,14.0,3.0,0.046875
0.8912509381337456,1.0,18.0,19.0,0.296875
0.8912509381337456,1.0,16.0,8.0,0.125
0.8912509381337456,1.0,21.0,16.0,0.25
0.8912509381337456,1.0,17.0,2.0,0.03125
0.8912509381337456,1.0,21.0,29.0,0.453125
0.8912509381337456,1.0,15.0,3.0,0.046875
0.8912509381337456,1.0,13.0,0.0,0.0
0.8912509381337456,1.0,15.0,13.0,0.203125
0.8912509381337456,1.0,20.0,7.0,0.109375
0.8912509381337456,1.0,21.0,6.0,0.09375
0.8912509381337456,1.0,13.0,7.0,0.109375
0.8912509381337456,1.0,19.0,7.0,0.109375
0.8912509381337456,1.0,22.0,19.0,0.296875
0.8912509381337456,1.0,16.0,3.0,0.046875
0.8912509381337456,1.0,21.0,16.0,0.25
0.8912509381337456,1.0,21.0,23.0,0.359375
0.8912509381337456,1.0,19.0,13.0,0.203125
0.8912509381337456,1.0,19.0,22.0,0.34375
0.8912509381337456,1.0,14.0,20.0,0.3125
0.8912509381337456,1.0,11.0,1.0,0.015625
0.8912509381337456,1.0,24.0,20.0,0.3125
0.8912509381337456,1.0,16.0,14.0,0.21875
0.8912509381337456,1.0,15.0,0.0,0.0
0.8912509381337456,1.0,18.0,29.0,0.453125
0.8912509381337456,1.0,17.0,14.0,0.21875
0.8912509381337456,1.0,16.0,7.0,0.109375
0.8912509381337456,1.0,14.0,13.0,0.203125
0.8912509381337456,1.0,14.0,5.0,0.078125
0.8912509381337456,1.0,11.0,1.0,0.015625
0.8912509381337456,1.0,13.0,6.0,0.09375
0.8912509381337456,1.0,16.0,10.0,0.15625
0.8912509381337456,1.0,18.0,5.0,0.078125
0.8912509381337456,1.0,21.0,21.0,0.328125
0.8912509381337456,1.0,19.0,7.0,0.109375
0.8912509381337456,1.0,21.0,24.0,0.375
0.8912509381337456,1.0,17.0,19.0,0.296875
0.8912509381337456,1.0,21.0,12.0,0.1875
0.8912509381337456,1.0,20.0,7.0,0.109375
0.8912509381337456,1.0,18.0,9.0,0.140625
0.8912509381337456,1.0,13.0,6.0,0.09375
0.8912509381337456,1.0,17.0,5.0,0.078125
0.8912509381337456,1.0,22.0,15.0,0.234375
0.8912509381337456,1.0,16.0,5.0,0.078125
0.8912509381337456,1.0,14.0,8.0,0.125
0.8912509381337456,1.0,13.0,1.0,0.015625
0.8912509381337456,1.0,11.0,0.0,0.0
0.8912509381337456,1.0,17.0,19.0,0.296875
0.8912509381337456,1.0,15.0,7.0,0.109375
0.8912509381337456,1.0,14.0,8.0,0.125
0.8912509381337456,1.0,19.0,11.0,0.171875
0.8912509381337456,1.0,15.0,2.0,0.03125
0.8912509381337456,1.0,16.0,19.0,0.296875
0.8912509381337456,1.0,17.0,19.0,0.296875
0.8912509381337456,1.0,12.0,0.0,0.0
0.8912509381337456,1.0,19.0,13.0,0.203125
0.8912509381337456,1.0,15.0,0.0,0.0
0.8912509381337456,1.0,21.0,19.0,0.296875
0.8912509381337456,1.0,8.0,0.0,0.0
0.8912509381337456,1.0,12.0,0.0,0.0
0.8912509381337456,1.0,16.0,1.0,0.015625
0.8912509381337456,1.0,13.0,0.0,0.0
0.8912509381337456,1.0,15.0,0.0,0.0
0.8912509381337456,1.0,24.0,31.0,0.484375
0.8912509381337456,1.0,15.0,18.0,0.28125
0.8912509381337456,1.0,19.0,15.0,0.234375
0.8912509381337456,1.0,15.0,10.0,0.15625
0.8912509381337456,1.0,13.0,13.0,0.203125
0.8912509381337456,1.0,16.0,19.0,0.296875
0.8912509381337456,1.0,14.0,10.0,0.15625
0.8912509381337456,1.0,18.0,13.0,0.203125
0.8912509381337456,1.0,22.0,34.0,0.53125
0.8912509381337456,1.0,12.0,3.0,0.046875
0.8912509381337456,1.0,17.0,19.0,0.296875
0.8912509381337456,1.0,16.0,10.0,0.15625
0.8912509381337456,1.0,20.0,20.0,0.3125
0.8912509381337456,1.0,18.0,10.0,0.15625
0.8912509381337456,1.0,16.0,9.0,0.140625
0.8912509381337456,1.0,16.0,8.0,0.125
0.8912509381337456,1.0,14.0,5.0,0.078125
0.8912509381337456,1.0,14.0,28.0,0.4375
0.8912509381337456,1.0,17.0,16.0,0.25
0.8912509381337456,1.0,15.0,14.0,0.21875
0.8912509381337456,1.0,12.0,3.0,0.046875
0.8912509381337456,1.0,17.0,16.0,0.25
0.8912509381337456,1.0,19.0,19.0,0.296875
0.8912509381337456,1.0,15.0,18.0,0.28125
0.8912509381337456,1.0,11.0,0.0,0.0
0.8912509381337456,1.0,13.0,1.0,0.015625
0.8912509381337456,1.0,12.0,10.0,0.15625
0.8912509381337456,1.0,13.0,6.0,0.09375
0.8912509381337456,1.0,21.0,10.0,0.15625
0.8912509381337456,1.0,8.0,5.0,0.078125
0.8912509381337456,1.0,12.0,5.0,0.078125
0.8912509381337456,1.0,19.0,19.0,0.296875
0.8912509381337456,1.0,23.0,21.0,0.328125
0.8912509381337456,1.0,20.0,26.0,0.40625
0.8912509381337456,1.0,13.0,1.0,0.015625
0.8912509381337456,1.0,14.0,16.0,0.25
0.8912509381337456,1.0,21.0,13.0,0.203125
0.8912509381337456,1.0,19.0,5.0,0.078125
0.8912509381337456,1.0,12.0,5.0,0.078125
0.8912509381337456,1.0,13.0,0.0,0.0
0.8912509381337456,1.0,17.0,2.0,0.03125
0.8912509381337456,1.0,18.0,8.0,0.125
0.8912509381337456,1.0,14.0,7.0,0.109375
0.8912509381337456,1.0,16.0,14.0,0.21875
0.8912509381337456,1.0,14.0,4.0,0.0625
0.8912509381337456,1.0,20.0,15.0,0.234375
0.8912509381337456,1.0,17.0,12.0,0.1875
0.8912509381337456,1.0,15.0,20.0,0.3125
0.8912509381337456,1.0,18.0,16.0,0.25
0.8912509381337456,1.0,11.0,0.0,0.0
0.8912509381337456,1.0,20.0,17.0,0.265625
0.8912509381337456,1.0,15.0,4.0,0.0625
0.8912509381337456,1.0,21.0,6.0,0.09375
0.8912509381337456,1.0,18.0,9.0,0.140625
0.8912509381337456,1.0,20.0,17.0,0.265625
0.8912509381337456,1.0,18.0,19.0,0.296875
0.8912509381337456,1.0,8.0,4.0,0.0625
0.8912509381337456,1.0,16.0,5.0,0.078125
0.8912509381337456,1.0,24.0,16.0,0.25
0.8912509381337456,1.0,18.0,27.0,0.421875
0.8912509381337456,1.0,20.0,8.0,0.125
0.8912509381337456,1.0,25.0,17.0,0.265625
0.8912509381337456,1.0,18.0,15.0,0.234375
0.8912509381337456,1.0,17.0,10.0,0.15625
0.8912509381337456,1.0,17.0,18.0,0.28125
0.8912509381337456,1.0,14.0,19.0,0.296875
0.8912509381337456,1.0,15.0,2.0,0.03125
0.8912509381337456,1.0,16.0,21.0,0.328125
0.8912509381337456,1.0,20.0,14.0,0.21875
0.8912509381337456,1.0,14.0,10.0,0.15625
0.8912509381337456,1.0,18.0,7.0,0.109375
0.8912509381337456,1.0,19.0,17.0,0.265625
0.8912509381337456,1.0,9.0,0.0,0.0
0.8912509381337456,1.0,9.0,0.0,0.0
0.8912509381337456,1.0,18.0,10.0,0.15625
0.8912509381337456,1.0,13.0,5.0,0.078125
0.8912509381337456,1.0,25.0,29.0,0.453125
0.8912509381337456,1.0,12.0,0.0,0.0
0.8912509381337456,1.0,16.0,5.0,0.078125
0.8912509381337456,1.0,22.0,19.0,0.296875
0.8912509381337456,1.0,14.0,10.0,0.15625
0.8912509381337456,1.0,18.0,20.0,0.3125
0.8912509381337456,1.0,14.0,9.0,0.140625
0.8912509381337456,1.0,13.0,12.0,0.1875
0.8912509381337456,1.0,16.0,15.0,0.234375
0.8912509381337456,1.0,13.0,4.0,0.0625
0.8912509381337456,1.0,13.0,6.0,0.09375
0.8912509381337456,1.0,20.0,15.0,0.234375
0.8912509381337456,1.0,20.0,15.0,0.234375
0.8912509381337456,1.0,18.0,21.0,0.328125
0.8912509381337456,1.0,17.0,8.0,0.125
0.8912509381337456,1.0,21.0,9.0,0.140625
0.8912509381337456,1.0,15.0,10.0,0.15625
0.8912509381337456,1.0,18.0,15.0,0.234375
0.8912509381337456,1.0,17.0,13.0,0.203125
0.8912509381337456,1.0,21.0,23.0,0.359375
0.8912509381337456,1.0,14.0,4.0,0.0625
0.8912509381337456,1.0,21.0,25.0,0.390625
0.8912509381337456,1.0,7.0,0.0,0.0
0.8912509381337456,1.0,14.0,14.0,0.21875
0.8912509381337456,1.0,15.0,6.0,0.09375
0.8912509381337456,1.0,17.0,6.0,0.09375
0.8912509381337456,1.0,18.0,12.0,0.1875
0.8912509381337456,1.0,14.0,0.0,0.0
0.8912509381337456,1.0,20.0,11.0,0.171875
0.8912509381337456,1.0,14.0,13.0,0.203125
0.8912509381337456,1.0,20.0,24.0,0.375
0.8912509381337456,1.0,16.0,20.0,0.3125
0.8912509381337456,1.0,20.0,9.0,0.140625
0.8912509381337456,1.0,20.0,10.0,0.15625
0.8912509381337456,1.0,18.0,8.0,0.125
0.8912509381337456,1.0,18.0,29.0,0.453125
0.8912509381337456,1.0,20.0,13.0,0.203125
0.8912509381337456,1.0,16.0,9.0,0.140625
0.8912509381337456,1.0,19.0,19.0,0.296875
0.8912509381337456,1.0,17.0,11.0,0.171875
0.8912509381337456,1.0,19.0,23.0,0.359375
0.8912509381337456,1.0,18.0,25.0,0.390625
0.8912509381337456,1.0,14.0,14.0,0.21875
0.8912509381337456,1.0,13.0,1.0,0.015625
0.8912509381337456,1.0,22.0,13.0,0.203125
0.8912509381337456,1.0,18.0,3.0,0.046875
0.8912509381337456,1.0,12.0,12.0,0.1875
0.8912509381337456,1.0,15.0,7.0,0.109375
0.8912509381337456,1.0,16.0,9.0,0.140625
0.8912509381337456,1.0,14.0,6.0,0.09375
0.8912509381337456,1.0,25.0,30.0,0.46875
0.8912509381337456,1.0,20.0,25.0,0.390625
0.8912509381337456,1.0,16.0,13.0,0.203125
0.8912509381337456,1.0,13.0,7.0,0.109375
0.8912509381337456,1.0,19.0,8.0,0.125
0.8912509381337456,1.0,14.0,6.0,0.09375
0.8912509381337456,1.0,16.0,14.0,0.21875
0.8912509381337456,1.0,25.0,34.0,0.53125
0.8912509381337456,1.0,15.0,13.0,0.203125
0.8912509381337456,1.0,15.0,17.0,0.265625
0.8912509381337456,1.0,18.0,12.0,0.1875
0.8912509381337456,1.0,13.0,3.0,0.046875
0.8912509381337456,1.0,19.0,21.0,0.328125
0.8912509381337456,1.0,13.0,3.0,0.046875
0.8912509381337456,1.0,15.0,1.0,0.015625
0.8912509381337456,1.0,14.0,5.0,0.078125
0.8912509381337456,1.0,19.0,23.0,0.359375
0.8912509381337456,1.0,18.0,15.0,0.234375
0.8912509381337456,1.0,15.0,2.0,0.03125
0.8912509381337456,1.0,8.0,0.0,0.0
0.8912509381337456,1.0,20.0,14.0,0.21875
0.8912509381337456,1.0,22.0,15.0,0.234375
0.8912509381337456,1.0,15.0,16.0,0.25
0.8912509381337456,1.0,17.0,17.0,0.265625
0.8912509381337456,1.0,15.0,12.0,0.1875
0.8912509381337456,1.0,17.0,10.0,0.15625
0.8912509381337456,1.0,21.0,29.0,0.453125
0.8912509381337456,1.0,15.0,0.0,0.0
0.8912509381337456,1.0,20.0,16.0,0.25
0.8912509381337456,1.0,18.0,12.0,0.1875
0.8912509381337456,1.0,20.0,16.0,0.25
0.8912509381337456,1.0,17.0,9.0,0.140625
0.8912509381337456,1.0,14.0,0.0,0.0
0.8912509381337456,1.0,15.0,6.0,0.09375
0.8912509381337456,1.0,18.0,4.0,0.0625
0.8912509381337456,1.0,14.0,0.0,0.0
0.8912509381337456,1.0,15.0,3.0,0.046875
0.8912509381337456,1.0,15.0,20.0,0.3125
0.8912509381337456,1.0,17.0,9.0,0.140625
0.8912509381337456,1.0,16.0,7.0,0.109375
0.8912509381337456,1.0,13.0,7.0,0.109375
0.8912509381337456,1.0,19.0,10.0,0.15625
0.8912509381337456,1.0,18.0,8.0,0.125
0.8912509381337456,1.0,18.0,13.0,0.203125
0.8912509381337456,1.0,16.0,5.0,0.078125
0.8912509381337456,1.0,23.0,18.0,0.28125
0.8912509381337456,1.0,19.0,16.0,0.25
0.8912509381337456,1.0,16.0,21.0,0.328125
0.8912509381337456,1.0,16.0,1.0,0.015625
0.8912509381337456,1.0,18.0,9.0,0.140625
0.8912509381337456,1.0,23.0,27.0,0.421875
0.8912509381337456,1.0,15.0,3.0,0.046875
0.8912509381337456,1.0,20.0,29.0,0.453125
0.8912509381337456,1.0,13.0,6.0,0.09375
0.8912509381337456,1.0,24.0,18.0,0.28125
0.8912509381337456,1.0,15.0,3.0,0.046875
0.8912509381337456,1.0,15.0,5.0,0.078125
0.8912509381337456,1.0,17.0,3.0,0.046875
0.8912509381337456,1.0,15.0,10.0,0.15625
0.8912509381337456,1.0,20.0,22.0,0.34375
0.8912509381337456,1.0,17.0,4.0,0.0625
0.8912509381337456,1.0,14.0,9.0,0.140625
0.8912509381337456,1.0,10.0,0.0,0.0
0.8912509381337456,1.0,22.0,17.0,0.265625
0.8912509381337456,1.0,9.0,0.0,0.0
0.8912509381337456,1.0,20.0,11.0,0.171875
0.8912509381337456,1.0,17.0,6.0,0.09375
0.8912509381337456,1.0,13.0,5.0,0.078125
0.8912509381337456,1.0,17.0,8.0,0.125
0.8912509381337456,1.0,21.0,8.0,0.125
0.8912509381337456,1.0,10.0,5.0,0.078125
0.8912509381337456,1.0,12.0,4.0,0.0625
0.8912509381337456,1.0,19.0,16.0,0.25
0.8912509381337456,1.0,13.0,6.0,0.09375
0.8912509381337456,1.0,11.0,2.0,0.03125
0.8912509381337456,1.0,14.0,4.0,0.0625
0.8912509381337456,1.0,14.0,0.0,0.0
0.8912509381337456,1.0,16.0,12.0,0.1875
0.8912509381337456,1.0,21.0,32.0,0.5
0.8912509381337456,1.0,19.0,13.0,0.203125
0.8912509381337456,1.0,14.0,12.0,0.1875
0.8912509381337456,1.0,11.0,6.0,0.09375
0.8912509381337456,1.0,23.0,31.0,0.484375
0.8912509381337456,1.0,15.0,0.0,0.0
0.8912509381337456,1.0,19.0,13.0,0.203125
0.8912509381337456,1.0,13.0,11.0,0.171875
0.8912509381337456,1.0,14.0,0.0,0.0
0.8912509381337456,1.0,20.0,15.0,0.234375
0.8912509381337456,1.0,18.0,22.0,0.34375
0.8912509381337456,1.0,20.0,19.0,0.296875
0.8912509381337456,1.0,11.0,0.0,0.0
0.8912509381337456,1.0,16.0,9.0,0.140625
0.8912509381337456,1.0,23.0,23.0,0.359375
0.8912509381337456,1.0,25.0,19.0,0.296875
0.8912509381337456,1.0,24.0,24.0,0.375
0.8912509381337456,1.0,17.0,4.0,0.0625
0.8912509381337456,1.0,16.0,14.0,0.21875
0.8912509381337456,1.0,20.0,18.0,0.28125
0.8912509381337456,1.0,12.0,7.0,0.109375
0.8912509381337456,1.0,17.0,13.0,0.203125
0.8912509381337456,1.0,13.0,0.0,0.0
0.8912509381337456,1.0,15.0,9.0,0.140625
0.8912509381337456,1.0,21.0,9.0,0.140625
0.8912509381337456,1.0,26.0,25.0,0.390625
0.8912509381337456,1.0,14.0,10.0,0.15625
0.8912509381337456,1.0,21.0,32.0,0.5
0.8912509381337456,1.0,20.0,9.0,0.140625
0.8912509381337456,1.0,22.0,28.0,0.4375
0.8912509381337456,1.0,21.0,17.0,0.265625
0.8912509381337456,1.0,22.0,8.0,0.125
0.8912509381337456,1.0,15.0,0.0,0.0
0.8912509381337456,1.0,12.0,0.0,0.0
0.8912509381337456,1.0,11.0,0.0,0.0
0.8912509381337456,1.0,17.0,13.0,0.203125
0.8912509381337456,1.0,25.0,11.0,0.171875
0.8912509381337456,1.0,16.0,5.0,0.078125
0.8912509381337456,1.0,19.0,5.0,0.078125
0.8912509381337456,1.0,13.0,4.0,0.0625
0.8912509381337456,1.0,17.0,6.0,0.09375
0.8912509381337456,1.0,26.0,36.0,0.5625
0.8912509381337456,1.0,15.0,12.0,0.1875
0.8912509381337456,1.0,16.0,15.0,0.234375
0.8912509381337456,1.0,17.0,21.0,0.328125
0.8912509381337456,1.0,12.0,3.0,0.046875
0.8912509381337456,1.0,20.0,31.0,0.484375
0.8912509381337456,1.0,16.0,23.0,0.359375
